key,English,German

Würfel0ib,"Ramp 8m 0","Rampe 8m 0"
Würfel0ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel1ib,"Ramp 8m 1","Rampe 8m 1"
Würfel1ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel2ib,"Ramp 8m 2","Rampe 8m 2"
Würfel2ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel3ib,"Ramp 8m 3","Rampe 8m 3"
Würfel3ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel4ib,"Ramp 8m 4","Rampe 8m 4"
Würfel4ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel5ib,"Ramp 8m 5","Rampe 8m 5"
Würfel5ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel6ib,"Ramp 8m 6","Rampe 8m 6"
Würfel6ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel7ib,"Ramp 8m 7","Rampe 8m 7"
Würfel7ibDesc,"Ramp 8m Inner corner frameShapes","Rampe 8m InnenEcke RahmenFormen"

Würfel0ibBlockVariantHelper,"Ramp 8m InnenEcke frameShapes","Rampe 8m InnenEcke RahmenFormen"
Würfel0ibBlockVariantHelperDesc,"Craft various Ramp 8m with this helper block.\nPut the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Stelle mit diesem Helferblock verschiedene Rampen 8m her.\nFüge den gefertigten Block deiner Leiste hinzu, halte die Nachladen-Taste gedrückt und wähle den Formeintrag im Kreismenü. Klicke oder Shift-Klicke, um eine Variante auszuwählen und damit zu bauen."


Würfel0ab,"Ramp 8m 0","Rampe 8m 0"
Würfel0abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel1ab,"Ramp 8m 1","Rampe 8m 1"
Würfel1abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel2ab,"Ramp 8m 2","Rampe 8m 2"
Würfel2abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel3ab,"Ramp 8m 3","Rampe 8m 3"
Würfel3abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel4ab,"Ramp 8m 4","Rampe 8m 4"
Würfel4abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel5ab,"Ramp 8m 5","Rampe 8m 5"
Würfel5abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel6ab,"Ramp 8m 6","Rampe 8m 6"
Würfel6abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel7ab,"Ramp 8m 7","Rampe 8m 7"
Würfel7abDesc,"Ramp 8m Aussen corner frameShapes","Rampe 8m AussenEcke RahmenFormen"

Würfel0abBlockVariantHelper,"Ramp 8m AussenEcke frameShapes","Rampe 8m AussenEcke RahmenFormen"
